NUM,LINEA,MAQUINA,COMPONENTE,CONDICION_FALLA,ACCION_INMEDIATA,MAQUINA_1,CAUSA,Minutos_TM,FECHA,SEMANA,RESPONSABLE,TURNO,Aplica
318,L2_CS,STRESS RELIEF OVEN,Charolas,Charola dañada,Se cambian charolas y se endereza una ,CS2 STRESS RELIEF OVEN,,25,02/02/2016,5,JAM,1 Primero,SI
319,L2_CS,COILING FMB01,Hidráulico,Falla hidraulica por temperatura,Se limpia cedazo de tuberia de agua,CS2 COILING FMB01,,28,02/02/2016,5,JAM,1 Primero,SI
320,LT2,LOAD TEST,Pinza Transporte,Se daña pinza transporte,Cambio de pinza y sensores,LT2 LOAD TEST,,140,02/02/2016,5,JAM,1 Primero,SI
321,L1_CS,HOT SET,Conveyor,Rodillos atorados en conveyor,Se reemplaza tornilleria y resortes.,CS1 HOT SET,,38,02/02/2016,5,JAM,1 Primero,SI
322,L1_CS,ROBOT 2,Gripper,Se cae gripper,Se reemplaza perno de sujeción,CS1 ROBOT 2,,19,02/02/2016,5,JAM,1 Primero,SI
323,L1_CS,STRESS RELIEF OVEN,Cadena,Na avanza horno,Se resetea horno.,CS1 STRESS RELIEF OVEN,,12,02/02/2016,5,JAM,2 Segundo,SI
324,L2_CS,ROBOT 2,Gripper,Tornillos capados.,Se cambia tornilleria capada,CS2 ROBOT 2,,10,02/02/2016,5,JAM,1 Primero,SI
325,L2_ITW,DISC SAW,Grinder,Grinder no avanza en auto,Se recalibra posición de home y avance del alambre,ITW2 DISC SAW,,30,02/02/2016,5,JAM,1 Primero,SI
326,L2_CS,ROBOT 3,Gripper,Se capan tornillos,Se sacan tornillos capados y se intala nueva tornilleria,CS2 ROBOT 3,,17,03/02/2016,5,JDEM,3 Tercero,SI
327,L2_CS,HOT SET,Elevador 2,Topa con travesaños del conveyor,Se mueve un poco la posición del conveyor para evitar esta situción ,CS2 HOT SET,,10,03/02/2016,5,JDEM,3 Tercero,SI
328,L1_ITW,WINDER,Limit switch,Se para maquina cuando llega la winder,Se baja velocidad a la winder y se revisan sensores de limite,ITW1 WINDER,,30,03/02/2016,5,JDEM,3 Tercero,SI
329,L1_CS,ROBOT 2,Sensor,Cable de sensor,Se ajusta cable de sensor por tener falso contacto,CS1 ROBOT 2,,45,03/02/2016,5,JAM,1 Primero,SI
330,L2_CS,STRESS RELIEF OVEN,Charolas,Se atoran charolas,Se recorta 2 charolas por estar atoradas,CS2 STRESS RELIEF OVEN,,60,03/02/2016,5,JAM,1 Primero,SI
331,L1_CS,HOT SET,sensores,Falla de sensores en hot set,"Se limpian sensores de final de carrera, tenian grasa con granalla",CS1 HOT SET,,34,03/02/2016,5,JAM,1 Primero,SI
332,L2_CS,ROBOT 1,Colisión,Falla hdiraulico y colisiona robot,Se manda a home el conveyor,CS2 ROBOT 1,,10,03/02/2016,5,JAM,1 Primero,SI
333,L2_CS,COILING FMB01,Interlock capota de seguridad,Interlock dañado,Se cambio el interlock,CS2 COILING FMB01,Mala operación,20,04/02/2016,5,JDEM,3 Tercero,SI
334,L1_DL,SHOT PEENER,,Fuga de granalla,Se repara fuga,DL SHOT PEENER,,25,04/02/2016,5,JDEM,1 Primero,NO
335,L3_ITW,COOLING ZONE 1,,Fuga de agua,Se repara fuga de agua,ITW3 COOLING ZONE 1,,20,04/02/2016,5,JDEM,3 Tercero,NO
336,L2_CS,HOT SET,Hot Set,Falla celda de carga,Se reemplaza celda de carga por tener cable dañado,CS2 HOT SET,,63,04/02/2016,5,JAM,1 Primero,SI
337,L1_CS,SHOT PEENER,Conveyor,Se atora resorte,Se desatora y se da reversa a cadena para liberar el resorte,CS1 SHOT PEENER,,10,04/02/2016,5,JAM,1 Primero,SI
338,L1_CS,SHOT PEENER,Conveyor,Se atora resorte,se saca resorte atorado,CS1 SHOT PEENER,,15,04/02/2016,5,JAM,1 Primero,SI
339,L2_CS,HOT SET,Hot Set,Marca falla de ASI en cold set,Se resetea Gateway,CS2 HOT SET,,35,04/02/2016,5,JAM,1 Primero,SI
340,L2_CS,HOT SET,Celda de carga,Se recibe turno con falla en celda de carga,Se cambia celda de carga por tener cable dañado,CS2 HOT SET,Colsión de resorte daña el cable,55,04/02/2016,5,AIM,2 Segundo,SI
341,L2_CS,HOT SET,Pisador,Error de marcha de pisador,"Sensor de pisador dañado, se instala uno nuevo",CS2 HOT SET,Colsión de resorte daña el cable,10,04/02/2016,5,AIM,2 Segundo,SI
342,L2_CS,ROBOT 3,Colisión,Colisiona robot,Se mueve robot para liberar resortes y retirar resortes,CS2 ROBOT 3,Resorte atorado en coveyor,13,04/02/2016,5,AIM,2 Segundo,SI
343,LT1,LOAD TEST,Conveyor,Se sueltan rodillos de base. Cambio de dos tornillos dañados,Se cambian tornillos de conveyor ya que se encuentran dañados,LT1 LOAD TEST,Se suelta tornillo dañando otro,25,04/02/2016,5,AIM,2 Segundo,SI
344,L2_CS,SHOT PEENER,Conveyor,Resorte atorado en cadena,Se encuentra reosrte atorado en shot peener ,CS2 SHOT PEENER,,12,04/02/2016,5,AIM,2 Segundo,SI
345,L2_CS,HOT SET,Conveyor,Ingeniería mueve la posición del conveyor y ya no se mueve,Se apoya a Ingeniería ya que movieron el cero del conveyor y dejo de avanzar. Se hace referencia desde la computadora porque no permite hacer movimientos.,CS2 HOT SET,"Un rodillo queda muy pegado al plato, y a veces se deforma el resorte",75,04/02/2016,5,AIM,2 Segundo,NO
346,L1_DL,DEFECTOMAT,Mesa de Defectomat,Se mueve mesa de defectomat por estar alambre pandeado.,"Se forza sensor de mesa, y se mueve alambre hacia adelante, despues se mueve la mesa a su posicion original.",DL DEFECTOMAT,"Al momento de alimentar alambre a la maquina, topo con las grinders, causando pandeo.",69,05/02/2016,5,JT,3 Tercero,SI
347,L2_CS,HOT SET,Conveyor,"Se encuentran dos tornillos doblados, causando falla de leva en conveyor.",Se retiran tornillos doblados y se instalan nuevos.,CS2 HOT SET,Resortes atorados en conveyor.,33,05/02/2016,5,JT,3 Tercero,SI
348,L1_DL,DRAWING,Overhead Rollers,Se rompe cadena de tension de overhead rollers,Se retira eslabon dañado de cadena y se instala uno nuevo. ,DL DRAWING,Cadena muy dañada.,72,05/02/2016,5,JT,3 Tercero,SI
349,L1_CS,SHOT PEENER,Cadena de Arrastre,Cdena atorandose constantement,"Se cambia tornilleri base de placa donde topaba resorte y se atoraba			",CS1 SHOT PEENER,,47,05/02/2016,5,JAM,1 Primero,SI
350,L1_CS,SHOT PEENER,Cadena de Arrastre,Atorones de la cadena,Se cambian 5 dedos,CS1 SHOT PEENER,,85,05/02/2016,5,JAM,1 Primero,SI
351,L1_CS,SHOT PEENER,Cadena de Arrastre,Atorones,Se libera resorte atorado x 3 ocaciones,CS1 SHOT PEENER,,126,05/02/2016,5,JAM,1 Primero,SI
352,L2_CS,ROBOT 2,Control,No regresa a home,Se resetea pilz principal de robot,CS2 ROBOT 2,,10,05/02/2016,5,JAM,1 Primero,SI
353,L2_CS,HOT SET,Leva,No home position,Se ajusta leva del conveyor,CS2 HOT SET,,28,05/02/2016,5,JAM,1 Primero,SI
354,L1_CS,ROBOT 2,,Colision en el horno,Se regresa robot a posición y se enderezan charolas dañadas,CS1 ROBOT 2,,19,05/02/2016,5,JAM,1 Primero,SI
355,L2_CS,HOT SET,Tornillo de leva,Tornillo doblado,Se cambio tornillo doblado,CS2 HOT SET,,15,05/02/2016,5,JAM,1 Primero,SI
356,L2_CS,HOT SET,,Se desajusta sensor de leva,Se ajusta el sensor,CS2 HOT SET,,40,05/02/2016,5,JAM,1 Primero,SI
357,L2_CS,ROBOT 5,Gripper,Se cae gripper,Se coloca gripper de nuevo,CS2 ROBOT 5,0,31,05/02/2016,5,JAM,1 Primero,SI
358,L2_CS,COILING FMB01,,SE apaga maquina,Se reinicia,CS2 COILING FMB01,,8,05/02/2016,5,JAM,1 Primero,SI
359,L2_CS,ROBOT 2,Gripper,Se cae gripper,Se colocan tornillos faltantes a gripper. Se cambio teach,CS2 ROBOT 2,,30,05/02/2016,5,JAM,1 Primero,SI
360,L2_CS,ROBOT 2,Colisión,colision y resortes atorados,Se liberan resortes atorados y se manda a home robot,CS2 ROBOT 2,,10,05/02/2016,5,JDEM,2 Segundo,SI
361,L2_CS,HOT SET,posicionador,Se atora posicionador con rodillos,Se libera resorte atorado,CS2 HOT SET,,6,05/02/2016,5,JDEM,2 Segundo,SI
362,L2_CS,ROBOT 3,Gripper,tornillos capados,S cambia tornilleria,CS2 ROBOT 3,,17,05/02/2016,5,JDEM,1 Primero,SI
363,L2_CS,SHOT PEENER,,Falta dedo de arrastre,Se coloca dedo nuevo,CS2 SHOT PEENER,,19,05/02/2016,5,JDEM,1 Primero,SI
364,L2_CS,STRESS RELIEF OVEN,,Charola de horno dañada,Se cambian 2 charolas dañadas,CS2 STRESS RELIEF OVEN,,23,05/02/2016,5,JDEM,1 Primero,SI
365,L2_CS,HOT SET,Celda de carga,SE DAÑA CABLE DE LA CELDA DE CARGApor  estar muy expuesto,Se cambia celda de carga,CS2 HOT SET,,50,05/02/2016,5,JDEM,2 Segundo,SI
366,LT2,LOAD TEST,Cilindro de comprobación ,Se va hacia atras cilindro de comprobación,Se necesita cambiar parametro en drive. Pendiente siguiente turno,LT2 LOAD TEST,,20,05/02/2016,5,JDEM,2 Segundo,SI
367,LT1,LOAD TEST,Transfer,Se suelta vastago del transfer,Se ensambla y se reaprieta tuerca,LT1 LOAD TEST,,10,06/02/2016,5,AIM,3 Tercero,SI
368,L2_CS,HOT SET,Conveyor,Falla leva,Se ajusta rodillo doblado,CS2 HOT SET,Hacía que ajustadores de posición no llegara al sensor,15,06/02/2016,5,AIM,3 Tercero,SI
369,L2_CS,HOT SET,Celda de carga,Se da{a celda de carga,Se termina de armar celda de carga y conectar ploga.,CS2 HOT SET,Resortes atorados,80,06/02/2016,5,AIM,3 Tercero,SI
370,L2_CS,HOT SET,Conveyor,Atorones entre los rodillos ,Se retiran resortes atorados y cambian 1 tornillo dañado,CS2 HOT SET,,20,06/02/2016,5,AIM,3 Tercero,SI
371,L1_CS,ROBOT 2,Gripper,Gripper flojo,Se cambian tornillos ,CS1 ROBOT 2,,8,06/02/2016,5,AIM,3 Tercero,SI
372,L3_ITW,INLET,Sensor de anillo 1,No manda a home feed roller 1,Se puentea sensor desconectado por falta de soldadura,ITW3 INLET,,85,06/02/2016,5,AIM,3 Tercero,SI
373,L1_CS,COILING FMB12,Slip Control,Se daña cople de slip control,Se cambia cople por estar dañado y evitar el giro del encoder,CS1 COILING FMB12,,60,06/02/2016,5,JAM,1 Primero,SI
374,L1_CS,STRESS RELIEF OVEN,Cortinas,Se detiene horno por cortinas,Se ajustan cortinas,CS1 STRESS RELIEF OVEN,,20,06/02/2016,5,JAM,1 Primero,SI
375,L1_CS,SHOT PEENER,COnveyor,Se atoran resortes en conveyor,Se desatoran resortes,CS1 SHOT PEENER,,40,06/02/2016,5,JAM,1 Primero,SI
376,L2_CS,COILING FMB46,Hidráulico,Se apaga hidraulico,Se baja velocidad de maquina y se reinicia,CS2 COILING FMB46,,20,06/02/2016,5,JAM,1 Primero,SI
377,L2_CS,HOT SET,Resortes,se atoran resortes,Se desatoran resortes y se cambia mangera quemada,CS2 HOT SET,,20,06/02/2016,5,JAM,1 Primero,SI
378,L2_CS,COILING FMB01,Hidráulico,Aceite muy caliente,Se restablece torre Reymsa para circular agua fria,CS2 COILING FMB01,,30,06/02/2016,5,JAM,1 Primero,SI
379,L2_CS,COLDSET,Conveyor,Resortes atorados,Se desatoran resortes ,CS2 COLDSET,,20,06/02/2016,5,JAM,1 Primero,SI
380,L2_CS,HOT SET,Leva,Leva dañada feura de posicion,Se cambia leva,CS2 HOT SET,,21,06/02/2016,5,JAM,1 Primero,SI
381,L2_CS,COILING FMB46,Hidráulico,Alta temraperatura del aceite del hidraulico,Se liibera maquia por falla de alta temperatura,CS2 COILING FMB46,,20,06/02/2016,6,JDEM,2 Segundo,SI
382,L2_CS,HOT SET,Pisadores,Tornillos flojos del pisador,Se reaprietan tornillos del travesaño,CS2 HOT SET,,7,06/02/2016,6,JDEM,2 Segundo,SI
383,L2_CS,HOT SET,Pisadores,Tornillos flojos en travesaño de pisador,Se cambio travesaño,CS2 HOT SET,,32,06/02/2016,6,JDEM,2 Segundo,SI
384,L2_CS,HOT SET,Pisadores,Se barren barrenos de los pistones ,Se hace cambio de los pistones,CS2 HOT SET,,44,06/02/2016,6,JDEM,2 Segundo,SI
385,L1_CS,SHOT PEENER,Tornillo sin fin inferior,"""fallando tornillo sin fin""",Se restablece protector de motor,CS1 SHOT PEENER,,11,07/02/2016,5,AIM,1 Primero,SI
386,L1_CS,STRESS RELIEF OVEN,Barreras eléctricas,"""Fallando cortinas de salida""",Se ajustan cortinas de salida del horno,CS1 STRESS RELIEF OVEN,,7,07/02/2016,5,AIM,1 Primero,SI
387,L1_CS,STRESS RELIEF OVEN,cadena de arrastre,"""Fallando cortinas en salida de horno""",Se ajustan las barreras fotoeléctricas,CS1 STRESS RELIEF OVEN,,20,07/02/2016,5,AIM,1 Primero,SI
388,L2_ITW,TEMPERING,Botón de apagado,No arranca tempering,"Se rastrea falla en PLC, se encuentra contacto ""normalmente cerrado"" abierto y pegado. Se instala uno nuevo.",ITW2 TEMPERING,Mandaba señal de prender y apagar al mismo tiempo.,40,07/02/2016,5,AIM,1 Primero,SI
389,L2_CS,SHOT PEENER,Cadena de Arrastre,Resorte atorada en salida de extracción,Se libera resorte atorado,CS2 SHOT PEENER,,10,08/02/2016,6,JDEM,3 Tercero,SI
390,L2_CS,COLDSET,posicionadores de la laser,No regresan pistones,Se le quita presión de aire para que no hagan ciclo ya que no se estaba usando laser,CS2 COLDSET,,8,08/02/2016,6,JDEM,3 Tercero,SI
391,L2_CS,ROBOT 3,Control,Colisiona robot y no responde teach,Se resetea teach para mandar a home el robot,CS2 ROBOT 3,,17,08/02/2016,6,JDEM,3 Tercero,SI
392,L1_CS,ROBOT 2,Sensor de colision,Se quiebro el conector del sensor,Se hace cambio del sensor,CS1 ROBOT 2,,20,08/02/2016,6,JDEM,3 Tercero,SI
393,L2_CS,SHOT PEENER,Cadena de Arrastre,Resortes atorados dentro de la cadena,Se liberan 5 resortes atorados,CS2 SHOT PEENER,,15,08/02/2016,6,JDEM,3 Tercero,SI
394,L2_CS,STRESS RELIEF OVEN,Charolas,Charola Dañada,Se endereza charola.,CS2 STRESS RELIEF OVEN,,12,08/02/2016,6,JAM,1 Primero,SI
395,L2_CS,ROBOT 2,Gripper,Se cae gripper,Se reaprieta gripper del horno,CS2 ROBOT 2,,47,08/02/2016,6,JAM,1 Primero,SI
396,L1_CS,ROBOT 2,Gripper,Tornillos flojos en gripper,Se reaprieta gripper 1,CS1 ROBOT 2,,15,08/02/2016,6,JAM,1 Primero,SI
397,L1_CS,COLDSET,Conveyor,Daño en conveyor,Se cambian soportes de conveyor,CS1 COLDSET,,130,08/02/2016,6,JAM,1 Primero,SI
398,L1_CS,HOT SET,Conveyor,Ttravesaño de Hot Set atorado,Se corta resorte atorado y se libera de posicionadores,CS1 HOT SET,,25,08/02/2016,6,JAM,1 Primero,SI
399,L2_CS,COILING FMB46,Pitch,Falla pitch pierde referecnai,Se gira pitch sobre guia para nivelarlo y se referencia a 0,CS2 COILING FMB46,,57,08/02/2016,6,JAM,1 Primero,SI
400,L2_CS,STRESS RELIEF OVEN,Cortinas,Se dañan cortinas del horno,Se ajusta cortina de salida del horno,CS2 STRESS RELIEF OVEN,,35,08/02/2016,6,JAM,1 Primero,SI
401,L2_CS,HOT SET,Conveyor,Leva fuera de posicion,Se reemplaza leva dañada en conveyor hotset,CS2 HOT SET,,15,08/02/2016,6,JAM,1 Primero,SI
402,LT1,LOAD TEST,Conveyor,Se atora resorte en conveyor,Se corta resorte atorado,LT1 LOAD TEST,,15,08/02/2016,6,AIM,2 Segundo,SI
403,L1_CS,SHOT PEENER,Cadena de Arrastre,Falla cadena de arrastre constantemente,Se checa cadena y se afloja 1cm por estar muy tensionada y desalineada,CS1 SHOT PEENER,,200,08/02/2016,6,AIM,2 Segundo,SI
404,L2_CS,STRESS RELIEF OVEN,Conveyor,Charola dañada,Se endereza charola doblada,CS2 STRESS RELIEF OVEN,,9,08/02/2016,6,AIM,2 Segundo,SI
405,L2_CS,ROBOT 2,Colisión,Falla sensor de colisión,Se puentea sensor por no haber en almacén,CS2 ROBOT 2,,30,08/02/2016,6,AIM,2 Segundo,SI
406,L2_CS,SHOT PEENER,Turbina 1,Se amarro turbina ,Se hace cambio de la turbina,CS2 SHOT PEENER,,280,09/02/2016,6,JDEM,3 Tercero,SI
407,L1_CS,HOT SET,Pisador,Se atora resorte en pisador y dobla travesaño,"Se cambia travesaño pero no quedan barrenos de los vastagos de lo cilindros. 
Queda pendiente para siguiente turno enderezar base que se doblo e instalarla por no quedar bien la nueva.",CS1 HOT SET,,30,09/02/2016,6,JDEM,3 Tercero,SI
408,L1_CS,HOT SET,Pisador,Base de pisador torcido,Se endereza con equipo la base del pisador,CS1 HOT SET,,60,09/02/2016,6,JAM,1 Primero,SI
409,L1_CS,SHOT PEENER,Guias,Ninguno,Se ajustas guias en shot peener,CS1 SHOT PEENER,,35,09/02/2016,6,JAM,1 Primero,SI
410,L1_CS,ROBOT 2,GRipper,TOrnillos de gripper,Se ajustan tornillos de gripper,CS1 ROBOT 2,,38,09/02/2016,6,JAM,1 Primero,SI
411,L2_CS,HOT SET,Posicionador,Se atora rodillo en posiconador,Se libera de rofillo de conveyor,CS2 HOT SET,,11,09/02/2016,6,JAM,1 Primero,SI
412,L2_CS,SHOT PEENER,Conveyor,Se atoran resortes ,Se sacan resortes en shot peen con equipo de cote,CS2 SHOT PEENER,,16,09/02/2016,6,JAM,1 Primero,SI
413,L2_ITW,DISC SAW,Grinder,No corta en automatico,Se revisan clamps y parametros. Falla continua,ITW2 DISC SAW,,420,09/02/2016,6,JAM,1 Primero,SI
414,L2_CS,LASER MARKING UNIT,,No permite hcer el mrcado. Empiea ciclo normalmete y al querer empezar a marcar en pantalla de la laser aparece un mensaje de error de circuito de paro de emergencia.,Se revisaron las señales de PE pero n se encontro ninguna activa. La maquina no se apaga pero no te permite terminar el ciclo,CS2 LASER MARKING UNIT,,45,10/02/2016,6,JDEM,3 Tercero,SI
415,L2_CS,COLDSET,Paletas de los posicionadores par la laser,"No detecta sensor. 
Modulo ASI en fault
Cilindro caido","Se resetea modulo ASI.
Se colocan torrnillos faltantes al cilindro",CS2 COLDSET,,15,10/02/2016,6,JDEM,3 Tercero,SI
416,L2_CS,STRESS RELIEF OVEN,Conveyor,Charolas dañadas,Se enderezan 3 charolas dañadas,CS2 STRESS RELIEF OVEN,,21,10/02/2016,6,JDEM,3 Tercero,SI
417,L1_CS,COILING FUL10,Cortador,No corta,Se desconectan conectores de sensores de leva y se limpian,CS1 COILING FUL10,,60,10/02/2016,6,JDEM,3 Tercero,NO
418,L2_CS,COILING FMB46,Hidráulico,Falla sercos,Se referencia el eje Y,CS2 COILING FMB46,,50,10/02/2016,6,JAM,1 Primero,SI
419,L2_CS,SHOT PEENER,Conveyor,Se atora resorte en conveyor,Se libera resorte cortando con equipo de calor.,CS2 SHOT PEENER,,20,10/02/2016,6,JAM,1 Primero,SI
420,L2_ITW,RODILLOS GUIA,RODILLOS GUIA,Rodillos desfasados,"Se colocó tapa a la base de los rodillos debido a que quedaba desfazado del rodillo inferior provocando rayón en el alambre. Se quitan puntos de soldadura, se machuelean barrenos y se pule lado de la tapa para que embonara bien",ITW2 RODILLOS GUIA,,35,10/02/2016,6,AIM,2 Segundo,SI
421,L2_CS,STRESS RELIEF OVEN,Conveyor,"No funciona horno, no avanza y charola dañada",Se desactivan barreras fotoeléctricas. Se deja dar vuelta al horno y para reparar charola,CS2 STRESS RELIEF OVEN,,21,10/02/2016,6,AIM,2 Segundo,SI
422,L2_CS,ROBOT 3,Colisión,Colsión de robot,Se manda robto a casa y se retiran 3 resortes,CS2 ROBOT 3,,10,10/02/2016,6,AIM,2 Segundo,SI
423,L1_CS,FINE PEENER,Cadena de arrastre,Marca error de cadena de arrastre,Se tensa cadena por estar floja. Se ajusta sensor de posición,CS1 FINE PEENER,No se tensa cadena en preventivos,22,10/02/2016,6,AIM,2 Segundo,SI
424,L2_CS,COILING FMB01,Forma inferior,no se mueve el eje W,Se intenta mover eje de forma inferior. Se encontró servomotor caído y banda suelta.,CS2 COILING FMB01,Solo tenía un tornillo bueno,50,10/02/2016,6,AIM,2 Segundo,SI
425,L1_CS,SHOT PEENER,Rodillos de arrastre,Falla de revoluciones,Se ajustan sensor de movimiento por no detectar las levas,CS1 SHOT PEENER,,60,10/02/2016,6,AIM,2 Segundo,SI
426,L1_DL,SHOT PEENER,Turbina 1,No funciona la turbina,Se encuentra motor aterrizado. Se comienza a cambiar,DL SHOT PEENER,,300,10/02/2016,6,AIM,2 Segundo,SI
427,L1_DL,SHOT PEENER,Turbina 1,Se descpmone motor ,Se ensambla toda la turbina en el motor. Se deja preparado para terminar de montar turbina en la maquina,DL SHOT PEENER,,450,11/02/2016,6,JDEM,3 Tercero,SI
428,L2_CS,COILING FMB01,forma inferior ,perdida de referencia del eje w,Se desmonta servomotor para mover manualmente valvula y que permita prender el hidraulico. Se de referencia cero al eje,CS2 COILING FMB01,,60,11/02/2016,6,JDEM,3 Tercero,NO
429,L2_CS,ROBOT 6,Gripper,tornillos capdos,Se cambia tornilleria,CS2 ROBOT 6,,16,11/02/2016,6,JDEM,3 Tercero,SI
430,LT1,LOAD TEST,Unidad de comprobación 1,CILINDRO AVANZA MUY POCO,"Se cambia gira en el drive
se cambia conector que estaba quemado
Siguiente turno se queda revisando balero por estar atorandose",LT1 LOAD TEST,,30,11/02/2016,6,JDEM,3 Tercero,SI
431,L2_CS,COILING FMB46,Hidráulico,Se apaga hidráulico,Se restablece maquina,CS2 COILING FMB46,Error de encoder 8022 en Eje Y,38,11/02/2016,6,JAM,1 Primero,SI
432,L1_DL,SHOT PEENER,Turbina,Motor aterrizado,Se monta motor de turbina,DL SHOT PEENER,,480,11/02/2016,6,JAM,1 Primero,SI
433,L2_CS,ROBOT 2,Colisión,Se derrite collision sensor,Se comparte señal de sensores.,CS2 ROBOT 2,,180,11/02/2016,6,JAM,1 Primero,SI
434,LT1,LOAD TEST,Unidad de comprobación 1,No regresa a posición,Se daña balero de la punta del sin fin. Se cambia balero,LT1 LOAD TEST,Se presume golpe entre platos,40,11/02/2016,6,AIM,2 Segundo,SI
435,L2_CS,COILING FMB01,Hidráulico,Aceite muy caliente,"Se reviso sistema de enfriamiento, encontrando todo normal. Se destapa filtro y sube flujo a 20GPM.",CS2 COILING FMB01,Filtro tapado,40,11/02/2016,6,AIM,2 Segundo,SI
436,LT1,LOAD TEST,Unidad de comprobación 1,No regresa a posición,Se vuelve a armar balero ya que no se dañó. Se le coloca pegamento a la tuerca ya que algunos hilos de la flecha ya están desgastados.,LT1 LOAD TEST,Flecha y/o tuerca desgastadas.,30,11/02/2016,6,AIM,2 Segundo,SI
437,L2_CS,ROBOT 3,Colisión,Colisión de robot,"Se cambia angulo dañado y tornillos, además se reaprieta tornillería de los otros grippers.",CS2 ROBOT 3,Resorte en mala posición,25,11/02/2016,6,AIM,2 Segundo,SI
438,L2_CS,ROBOT 5,Gripper,Colisión de robot,Se saca tornillo capado y se instalan nuevos,CS2 ROBOT 5,,10,11/02/2016,6,AIM,2 Segundo,SI
439,L1_CS,ROBOT 1,Gripper,Gripper flojo,Se cambian tornillos del gripper,CS1 ROBOT 1,,10,11/02/2016,6,AIM,2 Segundo,SI
440,L1_CS,SHOT PEENER,Sin fin superior,Se amarra una de las chumaseras,Se hace cambio de la chumasera amarrada.,CS1 SHOT PEENER,,420,12/02/2016,6,JDEM,3 Tercero,NO
441,L1_CS,SHOT PEENER,Sin fin superior,Se amarra una de las chumaseras,Se instala el moto de tornillo sin fin superior. Se instala sensor de giro. Se cierran tapas.,CS1 SHOT PEENER,,135,12/02/2016,6,JAM,1 Primero,SI
442,FACILITIES,GRUA CS,Cable,No avanza hidráulico,Se detecta cable torzado se le pone una extensión,FAC GRUA CS,,20,12/02/2016,6,AIM,2 Segundo,SI
443,L2_CS,COILING FMB46,Feeder Rollers,Tornillos capados,Se sacan tornillería capada de 3 ruedas alimentadoras,CS2 COILING FMB46,,120,12/02/2016,6,AIM,2 Segundo,SI
444,L2_CS,HOT SET,Pisador,Se daña manguera del pisador,Se cambio la manguera,CS2 HOT SET,,10,13/02/2016,6,JDEM,3 Tercero,SI
445,L2_CS,COILING FMB01,Hidráulico,Se apaga maquina,Se resetea maquina,CS2 COILING FMB01,,15,13/02/2016,6,JDEM,3 Tercero,SI
446,L2_ITW,COOLING TOWER GWK,Bomba Proceso,Se bota bomba,"El guardamotor está muy caliente respecto a los de las otras bombas, no se cambia debido a que las otras lineas estan corriendo. ",ITW2 COOLING TOWER GWK,,40,15/02/2016,7,JAM,3 Tercero,SI
447,L3_ITW,BENDING ROLLERS,Servomotor,Linea para por baja velocidad del servo,"Se reinicia la linea, y no se vuelve a presentar falla.",ITW3 BENDING ROLLERS,,20,15/02/2016,7,JAM,3 Tercero,SI
448,L1_ITW,COOLING TOWER GWK,Fault Cooling Water,Se detienen las 3 lineas por falla en GWK,"Se obstruye tuberia en bomba de recirculación, se destapa y el agua baja de nivel en poco tiempo. ",ITW1 COOLING TOWER GWK,,60,15/02/2016,7,JAM,3 Tercero,SI
449,L2_CS,HOT SET,Pisador,Se cae celeron de pisador,Se reemplaza parte.,CS2 HOT SET,,30,15/02/2016,7,JAM,3 Tercero,SI
450,L2_CS,COLDSET,Elevadores,Resortes se atoran y dañan manguera neumatica y sensor,No hay sensores ifm magneticos en almacén.,CS2 COLDSET,,13,15/02/2016,7,JAM,3 Tercero,SI
451,L1_CS,COILING FUL10,Limit switch,Se apaga hidráulico,"Se detectan clemas flojas, se reaprietan y limpian. Se revisan terminales de pilz ya que labobina energiza pero no manda señal. Se cambia limit switch y relevador.",CS1 COILING FUL10,,60,15/02/2016,7,AIM,1 Primero,SI
452,L1_CS,COILING FUL10,Boton de manual,No da ciclo,"Botón sin señal, se verifíca su funcionamiento y se reaprieta clema de botón manual ya que está operación no la realizaba.",CS1 COILING FUL10,,50,15/02/2016,7,AIM,1 Primero,SI
453,L1_CS,SHOT PEENER,Elevador de Cangilones,Se bota apagan máquina por falta de granalla,Producción rellena la máquina,CS1 SHOT PEENER,,60,15/02/2016,7,AIM,1 Primero,SI
454,L1_CS,SHOT PEENER,Elevador de Cangilones,Se satura elevador al añadirle granalla,Se saca material del elevador,CS1 SHOT PEENER,,120,15/02/2016,7,AIM,1 Primero,SI
455,L1_CS,SHOT PEENER,Tornillo inferior,Se bota guardamotor,Se reestablece guardamotor,CS1 SHOT PEENER,,10,15/02/2016,7,JDEM,2 Segundo,SI
456,L2_CS,ROBOT 2,Gripper,Tornillos capados,Se sacana tornillos capados y se cambian,CS2 ROBOT 2,,20,15/02/2016,7,JDEM,2 Segundo,SI
457,L2_CS,ROBOT 2,Gripper,Se le cayeron los 2 engranes a las cremalleras de los cilindros y no abrian por compleo,Se sacan los engranes caidos del horno y se vuelven a colocar,CS2 ROBOT 2,,31,15/02/2016,7,JDEM,2 Segundo,SI
458,L2_CS,COILING FMB46,Pitch,Hay variaciones en la lectura del encoder externo,"Se cambia lectura de encoder externo a interno.
Se lubrica y se limpia mecanismos del pitch.
Se iba a hacer cambio del encoder por uno nuevo pero el que esta en almacen no coincide con el de la maquina, por lo que solo se quito para poder limpiar los pines de conexion",CS2 COILING FMB46,,82,15/02/2016,7,JDEM,2 Segundo,SI
